module	trait	nObs	bicor	Z	t	p
purple	MEmidnightblue	43	-0.259179046498833	-1.69828869742918	1.71827014122463	0.0932916095370577
purple	MEblack	43	-0.346707522141691	-2.31598792137731	2.36681722209698	0.0227457790735144
purple	MEmagenta	43	-0.258556078455355	-1.69401324723022	1.71384380977879	0.0941095651451865
purple	MEpurple	43	-0.121887166689748	-0.784358449506169	0.78632151351882	0.43620050945303
purple	MEtan	43	-0.153990028577268	-0.993923871847599	0.997920074035413	0.324171546812978
purple	MElightgreen	43	-0.215199618265216	-1.39983258775175	1.41100973452576	0.165785048822267
purple	MEturquoise	43	-0.0228146085086396	-0.146110126645647	0.146122806584261	0.88454053261154
purple	MEpink	43	-0.212196390134827	-1.37968232825962	1.39038298173206	0.171914588848001
purple	MEsalmon	43	-0.187123232369687	-1.21245938579238	1.2197178550524	0.2295419422526
purple	MEbrown	43	0.0203612168545	0.130393422602087	0.130402435012335	0.896885761506679
purple	MEyellow	43	0.0151921735734272	0.0972848598058816	0.0972886026839348	0.922971251831363
purple	MEroyalblue	43	0.169389021084981	1.0951748036789	1.10052229933874	0.277524186400942
purple	MEgrey60	43	0.181575098980964	1.1756840967748	1.18230121452556	0.243897716965791
purple	MEred	43	0.212299149541665	1.38037134929741	1.39108806752672	0.171702197952724
purple	MEcyan	43	0.245817862668507	1.60690760302775	1.62382778718572	0.112077191193313
purple	MElightyellow	43	0.148782007445141	0.959794002107668	0.963392215121185	0.340998728429842
purple	MEblue	43	0.11783074785826	0.758006074842837	0.759777762893763	0.45173423787132
purple	MEgreen	43	-0.0921899988551036	-0.591984926579518	0.592828615688286	0.556551836104131
purple	MElightcyan	43	-0.00693748038531593	-0.0444222614720009	0.0444226178147533	0.964783188286224
purple	MEdarkred	43	0.102583929479927	0.659176442948195	0.660341373555202	0.512727888517523
purple	MEgreenyellow	43	0.0504264313802723	0.323160804752504	0.323298011745384	0.748112798706862
purple	MEgrey	43	-0.0888856548072829	-0.570651912254747	0.571407615333979	0.5708427100068
purple	group	43	-0.131743289752514	-0.848500522544206	0.85098595825603	0.399720035258965
purple	age	43	-0.118626805295702	-0.76317558950478	0.764983790794805	0.448662269597547
purple	White_vs_nonwhite	43	0.00755808400154642	0.0483962724126725	0.0483967332014271	0.961635053863882
purple	apo	43	0.186252615802888	1.20668341292753	1.21383851892048	0.231755491705333
purple	apo_hdp	14	0.281723071724545	1.00303999788483	1.01711481159706	0.329167862122246
purple	apo_gdm	14	-0.415316301523383	-1.53119752821804	1.58154791417826	0.139737693918451
purple	apo_other	14	0.149294854720705	0.521067177562111	0.523034338800312	0.610472256465214
purple	preterm	43	0.1004436708106	0.645329400798189	0.64642242507694	0.521608129798903
purple	bmi	43	-0.113598047801874	-0.730535703909465	0.732121589599414	0.468258963685586
purple	gwg	39	-0.0705178039713417	-0.429656195077645	0.430013565496175	0.66968000529984
purple	egwg	39	-0.138007539363925	-0.844858353612883	0.847577406364369	0.402122969340806
purple	ppwr	42	-0.1374192828363	-0.874649503436207	0.877440158832821	0.385487459051307
purple	ppwr_e	42	-0.0709177939413614	-0.449277712942539	0.449655670437426	0.655386031217485
purple	low_income	43	-0.061410403597741	-0.393713871953744	0.39396200759025	0.695650670099083
purple	low_access	43	0.127352241517561	0.819904123476693	0.822146508250813	0.415749290924296
purple	SPL_SVM	43	-0.0690563964802575	-0.442881586045866	0.443234794952867	0.659925988183454
purple	RPL_SVM	43	-0.0652406460096027	-0.418338166995542	0.418635840409481	0.677667238699616
purple	SPL_EBM	43	0.00121957057904718	0.00780906580556927	0.00780906774137701	0.993807202838849
purple	RPL_EBM	43	0.0155127296811587	0.0993379043043632	0.0993418891830087	0.921350965380371
purple	F_HVM	43	-0.0993739118901361	-0.638410538370106	0.639468770374062	0.526075086958088
purple	RPL_HVM	43	-0.0993739118901361	-0.638410538370106	0.639468770374062	0.526075086958088
purple	epds_mth6	42	-0.239229891629276	-1.54292014248684	1.55827024802925	0.127046982398413
purple	epds_3a_mth6	42	-0.259226373065463	-1.67777088811971	1.69751850627834	0.0973672442884636
purple	sleep_mth6	42	0.0612386352277775	0.387792384492153	0.388035419157809	0.700047298832463
purple	reap_mth6	42	0.01403167084039	0.0887499033633223	0.0887528160696598	0.92972124173159
purple	KCAL_mth6	24	-0.0977198438164319	-0.459814055122465	0.460550909181744	0.649640868230478
purple	HEI2015_TOTAL_SCORE_mth6	24	-0.401594402080567	-1.99599926150527	2.05679017905228	0.0517558590153703
purple	ppaq_total_mth6	42	-0.110157722457832	-0.699537388908549	0.700964596684506	0.487383084192058
purple	PM2.5_7Days_mth6	21	-0.0870808576397335	-0.380540500369194	0.38102407477133	0.707412422815197
purple	PM2.5_30Days_mth6	20	-0.0501385969251895	-0.212898571470496	0.212987932706336	0.833729975982305
purple	PM2.5_90Days_mth6	20	-0.124367312199923	-0.530391753614407	0.531774383370131	0.601384439040257
purple	EH_7Days_mth6	36	0.108161483032624	0.633161252949251	0.634406251529795	0.53006155933834
purple	EH_30Days_mth6	36	-0.11440812584034	-0.670041995065052	0.671517574627769	0.506428129762144
purple	EH_90Days_mth6	36	0.121165662911293	0.70999938824608	0.711755150477602	0.481471848366195
purple	weight_mth6	42	-0.0845039733646177	-0.535727688203641	0.536368568383489	0.594674486596027
purple	postpart_epds_bbmr	11	-0.165894198911889	-0.502325055247993	0.504675605560354	0.625911262339903
purple	infant_apgar1_bbmr	28	0.135567792139557	0.695544957897724	0.697703969913307	0.491555190118091
purple	infant_apgar5_bbmr	28	-0.0143061955710338	-0.0729525476522977	0.0729550365166958	0.942400254616569
purple	infant_weight_bbmr	23	0.0784700745601374	0.360335870512155	0.360707308404607	0.721921290690187
purple	breastfeeding	42	-0.210524800158123	-1.351686628815	1.36200018902128	0.180819283795634
purple	feeding_mth6	42	0.140172130143219	0.892402039876186	0.895366207375279	0.375947978941924
purple	ex_feeding_mth6	42	-0.140172130143219	-0.892402039876186	0.895366207375279	0.375947978941924
tan	MEmidnightblue	43	-0.0236529303256044	-0.151480904895131	0.151495035173523	0.88032820958743
tan	MEblack	43	-0.0617411803588411	-0.395839937814482	0.396092115531444	0.694090944815336
tan	MEmagenta	43	-0.111322684651485	-0.715779639403784	0.717271314572096	0.477273487716911
tan	MEpurple	43	0.0417128942738891	0.267247917046021	0.267325514184541	0.790558709166389
tan	MEtan	43	-0.192005358933526	-1.24488554449533	1.2527428549415	0.217397537042634
